Series,Movie,Critic Review
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It is the cinematic magic and the sense of joyous fun that makes ""Star Wars"" a very special film."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"A boy's adventure yarn in the most traditional, unabashedly entertaining sense."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Oh, the astronomical audiences; oh, the mundane story; oh, the over-cute little robots (one fat, one thin); oh, the vapid actors, the galactic shootouts; oh, the brilliant technology and oh, the boredom of it all."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Star Wars is, indeed, a movie that dares to be different, not only in setting, but in theme at a time when imagination has surrendered to realism in motion pictures. If you don't enjoy Star Wars, you are not as young at heart as you think you are."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It's a ""fun movie"", as they say. Meaning that it doesn't mean anything, it's a superior, pop plaything to play with, to be innocently enjoyed and thrown away like a four-dollar comic book."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"I haven't had as much fun at a movie in years. With its technical wizardry, high-velocity storytelling and spirited good humor, Star Wars dazzles the child in us."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"For two hours and one minute it takes you on a ""heavenly"" romp. Don't miss it."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"A hell of a drug, the kind of movie that seems almost purposely designed to convince all but the most jaded members of its audience of the expressive power of the medium."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It's a near timeless milestone in cinema that lives up to its legacy as a simple, exciting, and fun science fiction fantasy."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Star Wars is nothing short of pure unadulterated entertainment, something that has been sorely lacking in a great majority of recent films."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Tender loving care abounds in the production... The casting is great, with the inexperienced giving it a naivety that is essential to the story, and the veterans a rock-solid identification with evil (Cushing) and good (Guinness)."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,An epic intergalactic masterpiece.
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"...a stirring introduction to such legendary figures as Luke Skywalker, Han Solo, and Princess Leia."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It must be nice to be able to spend $8-million to fulfil your childhood fantasies. George Lucas has that much money because of the tremendous success of his last movie, American Graffiti, and he spent it both wisely and well on Star Wars."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Filmmakers have tried for decades, but they can't make a better space saga. It's the perfect stand-alone science fiction film that's only rivaled by its darker sequel."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"George Lucas, who brought us those memorable kids in American Graffiti, is back with Star Wars -- a film that would captivate the Mel's Drive-In crowd as well as enchant the kid in all of us."
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It's a throwback to that more innocent kind of film, where you know who's good and who's bad, where you boo the villain and cheer the hero...The movie makes fun of those clichés, but director George Lucas must love them too, because he makes them work."
