Franchise,Release_Date,movie_title,Domestic_Gross,Worldwide_Gross
Star Trek,7-Dec-79,Star Trek: The Motion Picture,82258456 ,139000000 
Star Trek,4-Jun-82,Star Trek II: The Wrath of Khan,78912963 ,95800000 
Star Trek,1-Jun-84,Star Trek III: The Search for Spock,76471046 ,87000000 
Star Trek,26-Nov-86,Star Trek IV: The Voyage Home,109713132 ,133000000 
Star Trek,9-Jun-89,Star Trek V: The Final Frontier,52210049 ,70200000 
Star Trek,6-Dec-91,Star Trek VI: The Undiscovered Country,74888996 ,96900000 
Star Trek,18-Nov-94,Star Trek: Generations,75671262 ,120000000 
Star Trek,22-Nov-96,Star Trek: First Contact,92027888 ,150000000 
Star Trek,11-Dec-98,Star Trek: Insurrection,70187658 ,117800000 
Star Trek,13-Dec-02,Star Trek: Nemesis,43254409 ,67312826 
Star Trek,8-May-09,Star Trek,257730019 ,385680446 
Star Trek,16-May-13,Star Trek Into Darkness,228778661 ,467381584 
Star Trek,21-Jul-16,Star Trek Beyond,158848340 ,335828400 
Star Wars,25-May-77,Star Wars Ep. IV: A New Hope(Star Wars),460998007 ,786598007 
Star Wars,20-May-80,Star Wars Ep. V: The Empire Strikes Back,290271960 ,534171960 
Star Wars,25-May-83,Star Wars Ep. VI: Return of the Jedi,309205079 ,572705079 
Star Wars,19-May-99,Star Wars Ep. I: The Phantom Menace,474544677 ,1027044677 
Star Wars,16-May-02,Star Wars Ep. II: Attack of the Clones,310676740 ,656695615 
Star Wars,19-May-05,Star Wars Ep. III: Revenge of the Sith,380270577 ,848998877 
Star Wars,16-Dec-15,Star Wars Ep. VII: The Force Awakens,936662225 ,2058601220 
Star Wars,14-Dec-16,Rogue One: A Star Wars Story(Star Wars Rogue One),532177324 ,1050988488 
Star Wars,13-Dec-17,Star Wars Ep. VIII: The Last Jedi,620181382 ,1317178532 
Star Wars,23-May-18,Solo: A Star Wars Story,213745535 ,385307085 
